Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000 12  4      ***      ***      ***      ***      ***      ***       ***       ***
2000 12  5      ***      ***      ***      ***      ***      ***       ***       ***
2000 12  6    4.656   11.546   -2.233    0.407    0.735    0.223     0.000     5.566
2000 12  7    4.113   11.190   -2.964    0.429    0.779    0.269     0.000     8.957
2000 12  8    1.863    4.694   -0.967    0.540    0.930    0.618     0.000     4.841
2000 12  9    5.394   13.297   -2.510    0.534    0.942    0.251     0.000     5.900
2000 12 10   -4.834    4.824  -14.492    0.304    0.987    0.442     0.000     8.310
2000 12 11  -13.768  -10.378  -17.159    0.164    0.903    0.651     0.000     5.762
2000 12 12   -9.332   -3.256  -15.407    0.220    0.927    0.535     0.000     4.292
2000 12 13   -9.087   -3.924  -14.250    0.246    0.962    0.640     0.000     3.508
